t_sec,q,w,o,p
5.70000,0,0,0,0
5.71667,0,0,0,0
5.73333,0,0,0,0
5.75000,0,0,0,0
5.76667,0,0,0,0
5.78333,0,0,0,0
5.80000,0,0,0,0
5.81667,0,0,0,0
5.83333,0,0,0,0
5.85000,0,1,0,0
5.86667,0,1,0,0
5.88333,0,1,0,0
5.90000,0,1,0,0
5.91667,0,1,0,0
5.93333,0,1,0,0
5.95000,0,1,0,0
5.96667,0,1,0,0
5.98333,0,1,0,0
6.00000,0,1,0,0
6.01667,0,1,0,0
6.03333,0,1,0,0
6.05000,0,1,0,0
6.06667,0,1,0,0
6.08333,0,1,0,1
6.10000,0,1,0,1
6.11667,0,1,0,1
6.13333,0,1,0,1
6.15000,0,1,0,1
6.16667,0,1,0,1
6.18333,0,1,0,1
6.20000,0,1,0,1
6.21667,0,1,0,1
6.23333,0,1,0,1
6.25000,0,1,0,1
6.26667,0,1,0,1
6.28333,0,1,0,1
6.30000,0,1,0,1
6.31667,0,1,0,0
6.33333,0,1,0,0
6.35000,0,1,0,0
6.36667,0,1,0,0
6.38333,0,1,0,0
6.40000,0,1,0,0
6.41667,0,1,0,0
6.43333,0,1,0,0
6.45000,0,1,0,0
6.46667,0,1,0,0
6.48333,0,1,0,0
6.50000,0,1,0,0
6.51667,0,1,0,0
6.53333,0,1,0,0
6.55000,0,1,1,0
6.56667,0,1,1,0
6.58333,0,1,1,0
6.60000,0,1,1,0
6.61667,0,1,1,0
6.63333,0,1,1,0
6.65000,0,1,1,0
6.66667,0,1,1,0
6.68333,0,1,1,0
6.70000,0,1,1,0
6.71667,0,1,1,0
6.73333,0,1,1,0
6.75000,0,1,1,0
6.76667,0,1,1,0
6.78333,0,1,1,0
6.80000,0,1,1,0
6.81667,0,0,1,0
6.83333,0,0,1,0
6.85000,0,0,1,0
6.86667,0,0,1,0
6.88333,0,0,0,0
6.90000,0,0,0,0
6.91667,0,0,0,0
6.93333,0,0,0,0
6.95000,0,0,0,0
6.96667,0,0,0,0
6.98333,0,0,0,0
7.00000,0,0,0,0
7.01667,0,0,0,0
7.03333,0,0,0,0
7.05000,0,0,0,0
7.06667,0,0,0,0
7.08333,0,0,0,0
7.10000,0,0,0,0
7.11667,0,0,0,0
7.13333,0,0,0,0
7.15000,0,0,0,0
7.16667,0,0,0,0
7.18333,1,0,0,0
7.20000,1,0,0,0
7.21667,1,0,0,1
7.23333,1,0,0,1
7.25000,1,0,0,1
7.26667,1,0,0,1
7.28333,1,0,0,0
7.30000,1,0,0,0
7.31667,1,0,0,0
7.33333,1,0,0,0
7.35000,1,0,0,0
7.36667,1,0,0,0
7.38333,1,0,0,0
7.40000,1,0,0,0
7.41667,1,0,0,0
7.43333,1,0,0,0
7.45000,1,0,0,0
7.46667,1,0,0,0
7.48333,1,0,0,0
7.50000,1,0,0,0
7.51667,1,0,0,0
7.53333,1,0,0,0
7.55000,1,0,0,0
7.56667,1,0,0,0
7.58333,1,0,0,0
7.60000,1,0,0,0
7.61667,1,0,0,0
7.63333,1,0,0,0
7.65000,1,0,0,0
7.66667,1,0,0,0
